Number of interfaces: 1
Total number of flows: 5

=== Stats ===
elapsed_ns=1000003152 TxBytes=124533440 Rate=0.996264 Gbps
Counters:
    64 bytes *   383245 => 0.196221 Gbit/s
   128 bytes *   195321 => 0.200009 Gbit/s
   256 bytes *    97661 => 0.200010 Gbit/s
   512 bytes *    48831 => 0.200012 Gbit/s
  1024 bytes *    24416 => 0.200016 Gbit/s

      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8165
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12287
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12289
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8214
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8167
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12317
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12261
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8213
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8166
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12316
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12260
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8214
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8195
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12286
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12291
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8183
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8197
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12286
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12290
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8184
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8198
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12285
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12291
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8183
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8198
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12286
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12291
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8184
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8198
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12287
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12289
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8182
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8197
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12286
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12290
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8186
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8197
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12287
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12291
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8212
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8166
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12287
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12290
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8213
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8167
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12317
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12260
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8213
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8166
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12318
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12259
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8214
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8197
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12285

      64 951460046
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12286
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12291
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8213
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8167
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12285
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12290
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8214
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8167
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12315
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12261
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8212
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8168
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12316
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12261
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8215
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8196
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12287
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12259
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8214
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8196
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12287
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12289
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8185
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8196
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12287
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12290
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8183
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8195
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12287
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12291
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8184
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8198
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12286
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12292
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8183
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8197
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12285
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12290
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8184
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8197
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12285
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12291
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8212
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8168
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12315
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12260
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8213
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8168
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12314
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12262
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8213
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8167
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12316
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12290
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8184
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8197
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12285
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12290
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8183
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8196
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12286
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12291
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8184
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8197
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12286
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12291
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8182
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8196
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12286
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12291
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8185
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8196
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12287
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12289
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8215
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8165
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12287
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12289
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8214
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8167
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12317
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12261
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8213
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8166
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12316
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12260
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8214
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8195
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12286
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12291
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8183
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8197
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12286
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12290
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8184
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8198
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12285
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12291
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8183
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8198
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12286
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12291
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8184
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8198
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12287
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12289
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8182
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8197
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12286
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12290
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8186
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8197
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12287
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12291
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8212
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8166
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12287
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12290
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8213
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8167
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12317
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12260
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8213
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8166
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12318
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64    12259
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
      64     8214
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
      64     8197
      64        0
      64        0
      64        0
     128        0
     128        0
     256        0
     512        0
    1024        0
      64    12285

